Name, Team, Matches, Innings, Runs, NotOuts, Highest Score, Average, Hundreds, Fifties, Ducks, Sixes, Fours, Balls
D Brookes, The Rest; England XI; South; North; Players; Marylebone Cricket Club; England; Northamptonshire; HDG Leveson-Gower's XI; Royal Air Force; Under 33, 182, 316, 11520, 30, 210*, 40.27, 27, 59, 14, 0, 83, 0
G Cook, Northamptonshire; TN Pearce's XI; Eastern Province; Marylebone Cricket Club; England; England XI, 185, 325, 9768, 33, 183, 33.45, 11, 53, 18, 0, 0, 0
W Larkins, Northamptonshire; TN Pearce's XI; Eastern Province; England XI; Marylebone Cricket Club; England; DH Robins' XI; Young England; South African Breweries English XI; Test and County Cricket Board XI; DB Close's XI; Cricket Association of Bengal Overseas XI; Durham; Scarborough Festival President's XI, 166, 292, 9392, 22, 207, 34.78, 23, 41, 29, 3, 46, 544
RJ Bailey, Northamptonshire; Derbyshire; England XI; England; Marylebone Cricket Club; Test and County Cricket Board XI, 151, 262, 9266, 42, 204*, 42.11, 21, 46, 16, 24, 319, 4652
AJ Lamb, Northamptonshire; Orange Free State; Western Province; England; Marylebone Cricket Club; England XI, 122, 190, 8541, 32, 209, 54.05, 24, 41, 4, 5, 133, 845
BL Reynolds, Players; AER Gilligan's XI; Northamptonshire, 164, 278, 8264, 23, 157*, 32.4, 11, 46, 17, 0, 11, 0
DS Steele, DH Robins' XI; Leicestershire; Northamptonshire; TN Pearce's XI; Derbyshire; England; Marylebone Cricket Club, 186, 304, 8125, 46, 131, 31.49, 11, 40, 24, 0, 5, 0
JE Timms, Northamptonshire; North; The Rest, 171, 300, 7482, 10, 122, 25.8, 12, 40, 34, 0, 13, 0
Mushtaq Mohammad, Marylebone Cricket Club; Karachi Blues; Karachi C; Karachi Whites; Karachi A; Karachi; President's XI; Peshawar; Pakistan International Airlines; BCCP XI; International Cavaliers; Pakistan Eaglets; Fazal Mahmood's XI; International XI; Pakistan Under-25s; Pakistan International Airlines A; DH Robins' XI; Rest of the World XI; Pakistan Banks; DB Close's XI; ZA Bhutto's XI; Pakistan; AER Gilligan's XI; TN Pearce's XI; Commonwealth XI; Pakistanis; The Rest; Northamptonshire, 115, 200, 7208, 18, 204*, 39.6, 14, 45, 12, 3, 23, 0
DJG Sales, Northamptonshire; Marylebone Cricket Club; Wellington; England A; First-Class Counties Select XI, 118, 188, 7087, 21, 303*, 42.43, 12, 38, 18, 78, 969, 11475
CN Woolley, Northamptonshire; North; Players; Gloucestershire, 162, 287, 6974, 16, 204*, 25.73, 8, 36, 20, 1, 50, 0
P Willey, Leicestershire; Northamptonshire; TN Pearce's XI; Eastern Province; Marylebone Cricket Club; England XI; England; DH Robins' XI; England Under-25s; South African Breweries English XI, 150, 250, 6745, 48, 227, 33.39, 11, 26, 19, 1, 4, 0
VWC Jupp, Sussex; Gentlemen; North; South; England XI; The Rest; England; Marylebone Cricket Club; Marylebone Cricket Club South African Touring Team; LG Robinson's XI; Northamptonshire; HDG Leveson-Gower's XI; Lord Hawke's XI; CI Thornton's XI, 110, 187, 6085, 11, 142*, 34.57, 9, 34, 9, 0, 0, 0
PJ Watts, Marylebone Cricket Club; Northamptonshire, 154, 249, 6028, 35, 108*, 28.16, 2, 33, 19, 0, 14, 0
RM Prideaux, South; Marylebone Cricket Club; Kent; Gentlemen; Cambridge University; Sussex; England; Gentlemen of England; The Rest; England XI; DH Robins' XI; Young England; Orange Free State; Northamptonshire; TN Pearce's XI; Commonwealth XI, 102, 183, 5935, 21, 176*, 36.63, 9, 31, 13, 4, 21, 0
A Lightfoot, Players; TN Pearce's XI; AER Gilligan's XI; Combined Services; Northamptonshire, 120, 197, 5707, 29, 174*, 33.97, 7, 32, 12, 2, 19, 0
A Fordham, Northamptonshire, 75, 134, 5535, 10, 193, 44.63, 14, 27, 7, 8, 286, 3148
SD Peters, Essex; Worcestershire; Northamptonshire; Marylebone Cricket Club, 74, 124, 5504, 11, 183*, 48.7, 16, 32, 4, 11, 735, 10420
RG Williams, DH Robins' XI; English Counties XI; Northamptonshire; Marylebone Cricket Club, 128, 203, 5397, 30, 151*, 31.19, 8, 24, 17, 1, 29, 480
L Livingston, Commonwealth XI; Northamptonshire; North; Marylebone Cricket Club; New South Wales; CG Howard's XI, 76, 125, 5174, 19, 201*, 48.81, 12, 27, 5, 8, 83, 0
DW Barrick, Northamptonshire; AER Gilligan's XI; Commonwealth XI; Duke of Norfolk's XI; LEG Ames' XI; England XI; The Rest; Players; Marylebone Cricket Club, 101, 156, 5166, 25, 211, 39.43, 10, 20, 8, 1, 65, 0
DJ Capel, Northamptonshire; Eastern Province; Test and County Cricket Board XI; Eastern Province B; England A; England; Marylebone Cricket Club; England XI, 124, 186, 4999, 28, 175, 31.63, 6, 35, 15, 13, 153, 1647
AH Bakewell, Northamptonshire; HDG Leveson-Gower's XI; North; The Rest; Players; Marylebone Cricket Club; England, 81, 147, 4898, 6, 246, 34.73, 11, 26, 16, 0, 0, 0
C Milburn, DH Robins' XI; Marylebone Cricket Club President's XI; Young England; Northamptonshire; TN Pearce's XI; Western Australia; Western Australia Combined XI; Marylebone Cricket Club; England XI; The Rest; England, 89, 150, 4696, 14, 158, 34.52, 10, 25, 10, 0, 32, 0
MEJC Norman, England XI; Marylebone Cricket Club; Leicestershire; Northamptonshire; AER Gilligan's XI, 83, 151, 4554, 12, 152, 32.76, 8, 23, 4, 0, 0, 0
MB Loye, Auckland; Lancashire; Northamptonshire; England A, 71, 115, 4501, 10, 322*, 42.86, 13, 16, 10, 36, 527, 7095
RA Haywood, Northamptonshire, 84, 152, 4245, 9, 198, 29.68, 10, 15, 11, 18, 162, 0
D Ripley, Marylebone Cricket Club; Northamptonshire, 134, 180, 4089, 41, 209, 29.41, 3, 19, 12, 2, 318, 4590
BW Bellamy, Northamptonshire, 143, 245, 3857, 29, 118, 17.85, 2, 16, 29, 0, 0, 0
BS Crump, AER Gilligan's XI; Northamptonshire; Marylebone Cricket Club; Players, 131, 192, 3831, 46, 115, 26.23, 2, 21, 15, 0, 1, 0
GJ Thompson, England; Marylebone Cricket Club; The Rest; Players; South; North; Under 30; Auckland; England XI; Lord Hawke's XI; Lord Londesborough's XI; CI Thornton's XI; Marylebone Cricket Club South African Touring Team; Northamptonshire; Lord Brackley's XI, 108, 188, 3782, 20, 124*, 22.51, 3, 15, 23, 2, 49, 0
FI Walden, Northamptonshire, 118, 200, 3781, 14, 128, 20.32, 5, 18, 25, 0, 39, 0
N Oldfield, Northamptonshire; Sir J Cahn's XI; Commonwealth XI; North; Lancashire; England, 65, 101, 3613, 11, 140, 40.14, 9, 21, 6, 3, 62, 0
AL Penberthy, Northamptonshire, 89, 126, 3504, 13, 132*, 31, 5, 20, 17, 12, 391, 5468
KM Curran, Gloucestershire; Zimbabwe; Zimbabweans; Boland; Natal; Northamptonshire, 67, 103, 3467, 16, 117, 39.85, 2, 24, 5, 17, 282, 3378
RI Newton, Northamptonshire, 50, 90, 3411, 6, 202*, 40.6, 12, 10, 8, 14, 441, 5851
SG Smith, Auckland; Trinidad; England XI; The Rest; Gentlemen; Gentlemen of England; Marylebone Cricket Club; SH Cochrane's XI; West Indians; Northamptonshire; West Indies; HDG Leveson-Gower's XI; New Zealand, 62, 109, 3397, 8, 204, 33.63, 5, 16, 4, 2, 53, 0
AG Wakely, Northamptonshire, 74, 118, 3266, 8, 123, 29.69, 5, 16, 4, 17, 415, 6922
RT Virgin, International XI; Marylebone Cricket Club; Somerset; TN Pearce's XI; Combined Services; Western Province; Northamptonshire, 57, 101, 3192, 8, 145, 34.32, 7, 15, 5, 0, 1, 0
RJ Warren, Northamptonshire; Nottinghamshire; The Rest, 55, 86, 3162, 12, 201*, 42.72, 7, 16, 10, 14, 324, 4831
W Wells, Northamptonshire, 127, 206, 2983, 32, 119, 17.14, 2, 10, 26, 2, 21, 0
GE Tribe, North; Victoria; The Rest; Australia; Players; Duke of Norfolk's XI; CG Howard's XI; LEG Ames' XI; Northamptonshire; AER Gilligan's XI; TN Pearce's XI; Commonwealth XI, 86, 120, 2898, 22, 136*, 29.57, 2, 17, 9, 0, 6, 0
U Afzaal, England XI; Marylebone Cricket Club; England; Surrey; Nottinghamshire; England A; Northamptonshire, 35, 62, 2847, 11, 204*, 55.82, 9, 13, 6, 10, 361, 5856
V Broderick, The Rest; North; Under 30; Marylebone Cricket Club; Northamptonshire; Sir PF Warner's XI, 93, 134, 2794, 17, 135, 23.88, 1, 15, 9, 0, 2, 0
RA White, Loughborough University Centre of Cricketing Excellence; British Universities; Northamptonshire, 51, 84, 2768, 12, 277, 38.44, 5, 11, 7, 38, 382, 4238
AP Arnold, Canterbury; Commonwealth XI; Northamptonshire, 63, 110, 2757, 6, 113, 26.5, 1, 13, 10, 0, 0, 0
R Subba Row, AER Gilligan's XI; Combined Services; Northamptonshire; Commonwealth XI; International XI; Bombay Cricket Association President's XI; Cambridge University; England XI; The Rest; Marylebone Cricket Club; Gentlemen; Surrey; England, 42, 65, 2595, 9, 260*, 46.33, 8, 12, 4, 0, 5, 0
NA Felton, Somerset; Northamptonshire, 48, 85, 2593, 6, 122, 32.82, 4, 17, 7, 2, 80, 1580
G Sharp, TN Pearce's XI; Northamptonshire, 141, 178, 2571, 33, 98, 17.73, 0, 9, 17, 0, 0, 0
MEK Hussey, Durham; Australia A; Northamptonshire; Western Australia; Gloucestershire; Australians; Australia, 23, 40, 2526, 6, 329*, 74.29, 6, 13, 1, 6, 369, 4406
AJ Hall, Transvaal; South Africa; Northamptonshire; Worcestershire; South Africans; Dolphins; Lions; Mashonaland Eagles; Kent; South Africa A; Easterns; Transvaal B; South Africa Academy; Gauteng, 50, 74, 2489, 8, 159, 37.71, 4, 15, 5, 10, 322, 4784
RJ Boyd-Moss, Northamptonshire; Cambridge University; Oxford and Cambridge Universities, 53, 88, 2404, 13, 155, 32.05, 4, 13, 5, 0, 0, 7
AM Rossington, Northamptonshire; Middlesex, 42, 66, 2373, 5, 117, 38.9, 2, 20, 3, 40, 296, 3476
AL Cox, Northamptonshire, 83, 143, 2370, 11, 98, 17.95, 0, 12, 16, 0, 0, 0
RI Keogh, Northamptonshire, 49, 82, 2368, 5, 129, 30.75, 6, 10, 8, 4, 295, 4568
HM Ackerman, South African Invitation XI; DH Robins' XI; Rest of the World XI; World XI; Natal B; Western Province B; Border; Northamptonshire; Western Province; Natal; North Eastern Transvaal; South; South African XI; The Rest, 45, 77, 2314, 3, 144, 31.27, 2, 14, 4, 1, 20, 0
CJT Pool, Northamptonshire, 49, 93, 2305, 5, 111, 26.19, 2, 11, 8, 0, 34, 0
BM Duckett, England; Nottinghamshire; Marylebone Cricket Club; England Lions; Northamptonshire, 35, 59, 2297, 3, 282*, 41.01, 6, 11, 5, 7, 334, 3212
CP Davis, Northamptonshire, 54, 96, 2176, 3, 237, 23.39, 4, 6, 6, 0, 33, 0
WW Timms, Cambridge University; Northamptonshire, 46, 82, 2159, 4, 154*, 27.67, 3, 13, 7, 0, 0, 0
F Jakeman, Northamptonshire; Marylebone Cricket Club; The Rest; England XI; Yorkshire, 48, 70, 2135, 7, 258*, 33.88, 4, 10, 5, 6, 77, 0
WH Denton, Northamptonshire, 58, 101, 2100, 9, 108*, 22.82, 1, 10, 8, 0, 6, 0
GAT Vials, Northamptonshire, 63, 113, 2062, 9, 129, 19.82, 1, 9, 19, 0, 18, 0
APR Hawtin, Northamptonshire, 48, 88, 2045, 2, 135, 23.77, 2, 11, 8, 0, 12, 0
MH Wessels, Mid West Rhinos; Worcestershire; Northamptonshire; Marylebone Cricket Club; Nottinghamshire; Nondescripts Cricket Club, 37, 62, 1957, 7, 102, 35.58, 2, 15, 6, 10, 273, 2959
W Barron, Sir PF Warner's XI; Northamptonshire; Lancashire, 48, 77, 1925, 4, 109, 26.36, 1, 10, 3, 0, 20, 0
JD Middlebrook, Yorkshire; Marylebone Cricket Club; Northamptonshire; Essex, 45, 65, 1923, 6, 121, 32.59, 3, 11, 6, 10, 262, 3944
PD Watts, Northamptonshire; Nottinghamshire; Marylebone Cricket Club, 66, 99, 1856, 24, 88*, 24.74, 0, 10, 11, 0, 12, 0
FR Brown, North; Surrey; South; The Rest; Gentlemen; England; Gentlemen of England; Marylebone Cricket Club; Cambridge University; HDG Leveson-Gower's XI; Northamptonshire; Marylebone Cricket Club Australian Touring Team; Free Foresters; TN Pearce's XI, 37, 50, 1835, 4, 145, 39.89, 4, 11, 3, 0, 13, 0
W East, Marylebone Cricket Club; Northamptonshire, 78, 127, 1835, 17, 86*, 16.68, 0, 7, 15, 0, 0, 0
NJ O'Brien, North West Warriors; Marylebone Cricket Club; Kent; Ireland; Leicestershire; Northamptonshire, 32, 55, 1802, 10, 168, 40.04, 1, 11, 4, 6, 237, 3081
AE Thomas, Northamptonshire; Wales; Players, 115, 186, 1786, 48, 67*, 12.94, 0, 4, 33, 0, 0, 0
GP Swann, England Lions; England A; England XI; Marylebone Cricket Club; Nottinghamshire; England; Northamptonshire, 51, 74, 1748, 6, 130*, 25.7, 2, 10, 9, 35, 242, 2370
TJ Yardley, Worcestershire; Northamptonshire, 48, 71, 1714, 19, 100*, 32.96, 1, 10, 3, 0, 0, 0
RE Levi, Cape Cobras; Western Province; Northamptonshire, 28, 48, 1646, 5, 168, 38.27, 3, 9, 4, 13, 230, 2310
SP Crook, Lancashire; Middlesex; Northamptonshire, 42, 57, 1609, 9, 142*, 33.52, 2, 8, 8, 15, 215, 2139
RR Montgomerie, Oxford University; Sussex; Oxford and Cambridge Universities; Northamptonshire; Combined Universities; Test and County Cricket Board XI, 31, 56, 1573, 4, 168, 30.25, 3, 8, 2, 0, 87, 1872
JS Denton, Northamptonshire, 52, 88, 1541, 12, 89, 20.27, 0, 5, 11, 0, 0, 0
ADG Matthews, South; England; Northamptonshire; HDG Leveson-Gower's XI; Glamorgan; Royal Air Force, 81, 130, 1524, 16, 60, 13.36, 0, 2, 11, 0, 0, 0
WA Buswell, Northamptonshire, 103, 172, 1460, 40, 101*, 11.06, 1, 0, 30, 0, 8, 0
RJ Partridge, Northamptonshire; Royal Air Force; M Leyland's XI; North, 98, 165, 1453, 44, 67*, 12, 0, 3, 21, 0, 0, 0
Sarfraz Nawaz, Punjab Governor's XI; Pakistan; Punjab University; Lahore; Northamptonshire; TN Pearce's XI; Pakistanis; Railways; North-West Frontier Province Governor's XI; BCCP Patron's XI; United Bank Limited; Lahore City Blues; Lahore City; Lahore City A; Lahore City Whites; Rest of the World XI; West Pakistan Governor's XI; Lahore Greens; International XI; Lahore; BCCP XI; Punjab A, 72, 92, 1430, 16, 90, 18.81, 0, 4, 17, 0, 0, 0
E Davis, Northamptonshire, 33, 49, 1429, 4, 171, 31.75, 1, 8, 3, 0, 0, 0
DJ Wild, Northamptonshire, 52, 71, 1418, 10, 128, 23.24, 2, 6, 10, 0, 1, 24
RS Vasconcelos, Northamptonshire; Boland, 22, 39, 1395, 4, 185*, 39.85, 3, 7, 2, 2, 195, 2417
J Seymour, Sussex; Northamptonshire, 51, 87, 1366, 7, 84*, 17.07, 0, 6, 8, 0, 0, 0
AW Snowden, Northamptonshire, 43, 78, 1357, 1, 105, 17.62, 1, 6, 7, 0, 0, 0
L Klusener, Dolphins; Natal B; KwaZulu-Natal; South Africa Under-24s; South Africa A; South Africans; South Africa; Natal; Northamptonshire; Nottinghamshire; Middlesex, 23, 34, 1355, 8, 202*, 52.11, 3, 7, 4, 4, 178, 2131
N Boje, Eagles; Warriors; South Africa Academy; Free State; Griqualand West and North West Combined XI; South Africa A; Free State; South African Students; South Africa Under-24s; Orange Free State B; Nottinghamshire; South Africa; Northamptonshire; Orange Free State; South Africans, 22, 36, 1336, 5, 226*, 43.09, 2, 8, 1, 7, 193, 2151
KV Andrew, North; Players; Marylebone Cricket Club; England; England XI; Combined Services; AER Gilligan's XI; Northamptonshire; TN Pearce's XI; Commonwealth XI, 137, 153, 1321, 59, 51, 14.05, 0, 1, 16, 0, 0, 0
WH Kingston, Gentlemen; Northamptonshire, 42, 77, 1279, 0, 76, 16.61, 0, 3, 5, 0, 0, 0
D Ramsamooj, Northamptonshire; Commonwealth XI; AER Gilligan's XI; Trinidad, 31, 54, 1263, 5, 132, 25.77, 3, 3, 4, 0, 0, 0
KC James, Wellington; Northamptonshire; New Zealanders; New Zealand Services; New Zealand; Sir L Parkinson's XI, 34, 62, 1246, 8, 105*, 23.07, 1, 5, 8, 0, 0, 0
CJL Rogers, Australia A; Northamptonshire; Leicestershire; Western Australia; Marylebone Cricket Club; Australia; Somerset; Australians; Middlesex; Derbyshire; Victoria, 15, 22, 1208, 1, 319, 57.52, 4, 5, 0, 3, 176, 2013
