Name, Team, Opponents, Ground, Date, Score, Balls, Fours, Sixes, Minutes
MEK Hussey, Northamptonshire, Essex, County Ground  Northampton, 27 July 2001, 329*, 444, 48, 1, 614
MB Loye, Northamptonshire, Glamorgan, County Ground  Northampton, 21 May 1998, 322*, 534, 49, 0, 648
CJL Rogers, Northamptonshire, Gloucestershire, County Ground  Northampton, 8 August 2006, 319, 417, 50, 2, 567
DJG Sales, Northamptonshire, Essex, County Ground  Northampton, 30 July 1999, 303*, 355, 46, 2, 466
JR Freeman, Essex, Northamptonshire, County Ground  Northampton, 11 June 1921, 286, 0, 38, 1, 420
ME Trescothick, Somerset, Northamptonshire, County Ground  Northampton, 8 May 2007, 284, 379, 36, 4, 501
BM Duckett, Northamptonshire, Sussex, County Ground  Northampton, 10 April 2016, 282*, 367, 38, 2, 513
RA White, Northamptonshire, Gloucestershire, County Ground  Northampton, 11 September 2002, 277, 325, 41, 2, 379
DJG Sales, Northamptonshire, Nottinghamshire, County Ground  Northampton, 11 May 2000, 276, 375, 33, 3, 485
A Flower, Essex, Northamptonshire, County Ground  Northampton, 26 July 2006, 271*, 471, 37, 1, 624
WJ Edrich, Middlesex, Northamptonshire, County Ground  Northampton, 23 July 1947, 267*, 0, 24, 3, 315
R Subba Row, Northamptonshire, Lancashire, County Ground  Northampton, 23 July 1955, 260*, 0, 0, 0, 0
F Jakeman, Northamptonshire, Essex, County Ground  Northampton, 14 July 1951, 258*, 0, 35, 4, 320
MW Alleyne, Gloucestershire, Northamptonshire, County Ground  Northampton, 23 August 1990, 256, 0, 38, 0, 439
DJG Sales, Northamptonshire, Gloucestershire, County Ground  Northampton, 2 August 2013, 255*, 279, 36, 3, 353
AH Bakewell, Northamptonshire, Nottinghamshire, County Ground  Northampton, 7 June 1933, 246, 0, 0, 0, 0
WCL Creese, Hampshire, Northamptonshire, County Ground  Northampton, 10 May 1939, 241, 0, 0, 0, 0
CP Davis, Northamptonshire, Somerset, County Ground  Northampton, 12 July 1947, 237, 0, 27, 0, 390
RA Harper, Northamptonshire, Gloucestershire, County Ground  Northampton, 7 May 1986, 234, 213, 25, 12, 234
