Name, Team, Matches, Innings, Balls, Maidens, Runs, Wickets, Avg, Fours, Sixes, FiveFor, TenFor, BBI, BBM
GJ Thompson, England; Marylebone Cricket Club; The Rest; Players; South; North; Under 30; Auckland; England XI; Lord Hawke's XI; Lord Londesborough's XI; CI Thornton's XI; Marylebone Cricket Club South African Touring Team; Northamptonshire; Lord Brackley's XI, 108, 169, 21260, 861, 9606, 518, 18.54, 0, 0, 48, 14, 9/64, 15/167
EW Clark, Northamptonshire; LH Tennyson's XI; England; Marylebone Cricket Club; Players; The Rest; North, 120, 188, 21477, 832, 8888, 434, 20.47, 0, 0, 23, 8, 7/36, 11/87
GE Tribe, North; Victoria; The Rest; Australia; Players; Duke of Norfolk's XI; CG Howard's XI; LEG Ames' XI; Northamptonshire; AER Gilligan's XI; TN Pearce's XI; Commonwealth XI, 86, 149, 19270, 853, 8084, 420, 19.24, 0, 0, 34, 5, 9/43, 15/31
W Wells, Northamptonshire, 127, 186, 17699, 583, 8832, 412, 21.43, 0, 0, 30, 8, 8/65, 13/101
VWC Jupp, Sussex; Gentlemen; North; South; England XI; The Rest; England; Marylebone Cricket Club; Marylebone Cricket Club South African Touring Team; LG Robinson's XI; Northamptonshire; HDG Leveson-Gower's XI; Lord Hawke's XI; CI Thornton's XI, 110, 168, 18369, 634, 9326, 406, 22.97, 0, 0, 30, 5, 8/71, 11/81
AE Thomas, Northamptonshire; Wales; Players, 115, 189, 25711, 1358, 8584, 350, 24.52, 0, 0, 12, 2, 8/96, 11/212
BS Crump, AER Gilligan's XI; Northamptonshire; Marylebone Cricket Club; Players, 131, 209, 21477, 1053, 8102, 293, 27.65, 0, 0, 8, 1, 6/14, 11/58
SG Smith, Auckland; Trinidad; England XI; The Rest; Gentlemen; Gentlemen of England; Marylebone Cricket Club; SH Cochrane's XI; West Indians; Northamptonshire; West Indies; HDG Leveson-Gower's XI; New Zealand, 62, 109, 11337, 531, 4444, 281, 15.81, 0, 0, 23, 7, 7/20, 14/123
W East, Marylebone Cricket Club; Northamptonshire, 78, 125, 12431, 609, 4912, 266, 18.46, 0, 0, 16, 2, 7/11, 12/97
JP Taylor, Northamptonshire; England A; Derbyshire; England XI; England, 80, 145, 14126, 482, 7315, 261, 28.02, 0, 0, 9, 3, 7/87, 11/104
