Name, Team, Opponents, Date, Ground, Innings, Balls, Maidens, Runs, Wickets, Balls Per Over
C Blythe, Kent, Northamptonshire, 30 May 1907, County Ground  Northampton, 0, 187, 14, 48, 17, 6
GE Tribe, Northamptonshire, Yorkshire, 2 July 1958, County Ground  Northampton, 0, 170, 15, 31, 15, 6
EG Dennett, Gloucestershire, Northamptonshire, 25 July 1907, County Ground  Northampton, 0, 347, 18, 97, 15, 6
GJ Thompson, Northamptonshire, Leicestershire, 2 July 1906, County Ground  Northampton, 0, 419, 18, 167, 15, 6
R Aspinall, Yorkshire, Northamptonshire, 23 August 1947, County Ground  Northampton, 0, 150, 7, 65, 14, 6
C Blythe, Kent, Northamptonshire, 24 May 1909, County Ground  Northampton, 0, 214, 8, 75, 14, 6
JS Heap, Lancashire, Northamptonshire, 4 August 1910, County Ground  Northampton, 0, 210, 11, 93, 14, 6
CWL Parker, Gloucestershire, Northamptonshire, 18 June 1927, County Ground  Northampton, 0, 316, 23, 96, 14, 6
JS Savage, Leicestershire, Northamptonshire, 2 August 1958, County Ground  Northampton, 0, 330, 21, 99, 14, 6
SWA Cadman, Derbyshire, Northamptonshire, 24 July 1920, County Ground  Northampton, 0, 273, 9, 104, 14, 6
SG Smith, Northamptonshire, Derbyshire, 26 July 1909, County Ground  Northampton, 0, 242, 9, 123, 14, 6
A Skelding, Leicestershire, Northamptonshire, 30 May 1925, County Ground  Northampton, 0, 304, 11, 125, 14, 6
W Rhodes, Yorkshire, Northamptonshire, 20 July 1911, County Ground  Northampton, 0, 336, 16, 139, 14, 6
A Waddington, Yorkshire, Northamptonshire, 14 July 1920, County Ground  Northampton, 0, 197, 16, 48, 13, 6
J Langridge, Sussex, Northamptonshire, 13 July 1932, County Ground  Northampton, 0, 249, 13, 65, 13, 6
GJ Thompson, Northamptonshire, Sussex, 8 August 1912, County Ground  Northampton, 0, 267, 17, 66, 13, 6
AP Freeman, Kent, Northamptonshire, 28 May 1921, County Ground  Northampton, 0, 150, 5, 67, 13, 6
TB Mitchell, Derbyshire, Northamptonshire, 18 May 1932, County Ground  Northampton, 0, 317, 13, 98, 13, 6
MHJ Allen, Northamptonshire, Derbyshire, 20 May 1961, County Ground  Northampton, 0, 294, 20, 98, 13, 6
RK Kleinveldt, Northamptonshire, Nottinghamshire, 19 September 2017, County Ground  Northampton, 0, 236, 9, 98, 13, 6
GE Tribe, Northamptonshire, Worcestershire, 26 July 1958, County Ground  Northampton, 0, 266, 14, 99, 13, 6
W Wells, Northamptonshire, Yorkshire, 9 May 1910, County Ground  Northampton, 0, 205, 5, 101, 13, 6
JE Walsh, Leicestershire, Northamptonshire, 31 July 1948, County Ground  Northampton, 0, 306, 14, 108, 13, 6
LN Constantine, West Indians, Northamptonshire, 27 June 1928, County Ground  Northampton, 0, 241, 6, 112, 13, 6
RI Keogh, Northamptonshire, Glamorgan, 31 August 2016, County Ground  Northampton, 0, 298, 17, 125, 13, 6
MM Betts, Durham, Northamptonshire, 27 August 1997, County Ground  Northampton, 0, 222, 7, 143, 13, 6
TL Pritchard, Warwickshire, Northamptonshire, 12 June 1948, County Ground  Northampton, 0, 362, 8, 153, 13, 6
AP Freeman, Kent, Northamptonshire, 19 May 1928, County Ground  Northampton, 0, 306, 9, 168, 13, 6
AP Freeman, Kent, Northamptonshire, 18 July 1934, County Ground  Northampton, 0, 511, 25, 187, 13, 6
RW Clarke, Northamptonshire, Surrey, 18 May 1949, County Ground  Northampton, 0, 437, 15, 190, 13, 6
A Kumble, Northamptonshire, Hampshire, 20 July 1995, County Ground  Northampton, 0, 412, 22, 192, 13, 6
W Wells, Northamptonshire, Kent, 28 May 1921, County Ground  Northampton, 0, 298, 6, 196, 13, 6
GH Hirst, Yorkshire, Northamptonshire, 7 May 1908, County Ground  Northampton, 0, 121, 12, 19, 12, 6
LF Townsend, Derbyshire, Northamptonshire, 15 August 1931, County Ground  Northampton, 0, 120, 3, 55, 12, 6
JDF Larter, Northamptonshire, Somerset, 16 June 1965, County Ground  Northampton, 0, 182, 9, 56, 12, 6
