Name, Team, Matches, Innings, Ground, Country, Dismissals, Caught, Stumped, Caught by Keeper, Caught by Fielder, Best Dismissals, Best Caught Fielder, Best Caught Keeper, Best Stumpings
D Ripley, Marylebone Cricket Club; Northamptonshire, 134, 243, , , 356, 321, 35, 317, 4, 6, 0, 6, 0
KV Andrew, North; Players; Marylebone Cricket Club; England; England XI; Combined Services; AER Gilligan's XI; Northamptonshire; TN Pearce's XI; Commonwealth XI, 137, 256, , , 327, 257, 70, 257, 0, 5, 0, 5, 0
G Sharp, TN Pearce's XI; Northamptonshire, 141, 257, , , 294, 248, 46, 248, 0, 5, 0, 5, 0
BW Bellamy, Northamptonshire, 143, 240, , , 272, 225, 47, 222, 3, 5, 0, 5, 0
WA Buswell, Northamptonshire, 103, 180, , , 213, 146, 67, 145, 1, 4, 0, 3, 1
DS Steele, DH Robins' XI; Leicestershire; Northamptonshire; TN Pearce's XI; Derbyshire; England; Marylebone Cricket Club, 186, 338, , , 210, 210, 0, 0, 210, 4, 4, 0, 0
G Cook, Northamptonshire; TN Pearce's XI; Eastern Province; Marylebone Cricket Club; England; England XI, 185, 336, , , 157, 155, 2, 3, 152, 4, 4, 0, 0
BL Reynolds, Players; AER Gilligan's XI; Northamptonshire, 164, 299, , , 142, 135, 7, 24, 111, 3, 0, 3, 0
LA Johnson, Marylebone Cricket Club; Northamptonshire, 62, 111, , , 125, 99, 26, 99, 0, 4, 0, 4, 0
RJ Bailey, Northamptonshire; Derbyshire; England XI; England; Marylebone Cricket Club; Test and County Cricket Board XI, 151, 273, , , 123, 123, 0, 0, 123, 5, 5, 0, 0
D Murphy, Loughborough Marylebone Cricket Club University; Loughborough University Centre of Cricketing Excellence; Scotland; Northamptonshire, 36, 61, , , 114, 107, 7, 107, 0, 5, 0, 5, 0
PJ Watts, Marylebone Cricket Club; Northamptonshire, 154, 284, , , 112, 112, 0, 0, 112, 4, 4, 0, 0
NJ O'Brien, North West Warriors; Marylebone Cricket Club; Kent; Ireland; Leicestershire; Northamptonshire, 32, 61, , , 106, 98, 8, 96, 2, 5, 0, 5, 0
