Name, Team, Matches, Innings, Runs, NotOuts, Highest Score, Average, Hundreds, Fifties, Ducks, Sixes, Fours, Balls
JE Timms, Northamptonshire; North; The Rest, 37, 67, 1750, 3, 114*, 27.34, 4, 9, 7, 0, 0, 0
AH Bakewell, Northamptonshire; HDG Leveson-Gower's XI; North; The Rest; Players; Marylebone Cricket Club; England, 20, 38, 1259, 2, 134, 34.97, 4, 5, 3, 0, 0, 0
CN Woolley, Northamptonshire; North; Players; Gloucestershire, 20, 38, 1091, 3, 164, 31.17, 2, 3, 0, 0, 35, 0
D Brookes, The Rest; England XI; South; North; Players; Marylebone Cricket Club; England; Northamptonshire; HDG Leveson-Gower's XI; Royal Air Force; Under 33, 23, 43, 1012, 1, 113, 24.09, 1, 6, 3, 0, 11, 0
VWC Jupp, Sussex; Gentlemen; North; South; England XI; The Rest; England; Marylebone Cricket Club; Marylebone Cricket Club South African Touring Team; LG Robinson's XI; Northamptonshire; HDG Leveson-Gower's XI; Lord Hawke's XI; CI Thornton's XI, 27, 47, 954, 5, 163, 22.71, 1, 2, 4, 0, 0, 0
AL Cox, Northamptonshire, 18, 34, 624, 2, 71, 19.5, 0, 4, 5, 0, 0, 0
BW Bellamy, Northamptonshire, 26, 45, 593, 4, 89*, 14.46, 0, 3, 10, 0, 0, 0
ADG Matthews, South; England; Northamptonshire; HDG Leveson-Gower's XI; Glamorgan; Royal Air Force, 20, 36, 576, 3, 76*, 17.45, 0, 2, 5, 0, 0, 0
BL Reynolds, Players; AER Gilligan's XI; Northamptonshire, 17, 30, 575, 3, 115, 21.29, 1, 1, 6, 0, 0, 0
RM Prideaux, South; Marylebone Cricket Club; Kent; Gentlemen; Cambridge University; Sussex; England; Gentlemen of England; The Rest; England XI; DH Robins' XI; Young England; Orange Free State; Northamptonshire; TN Pearce's XI; Commonwealth XI, 8, 13, 520, 1, 79, 43.33, 0, 5, 0, 0, 0, 0
CP Davis, Northamptonshire, 9, 17, 451, 0, 163, 26.52, 1, 0, 0, 2, 19, 0
DW Barrick, Northamptonshire; AER Gilligan's XI; Commonwealth XI; Duke of Norfolk's XI; LEG Ames' XI; England XI; The Rest; Players; Marylebone Cricket Club, 7, 14, 399, 0, 65, 28.5, 0, 3, 0, 0, 0, 0
H Gimblett, Under 30; South; Players; England; Somerset; The Rest; England XI; HDG Leveson-Gower's XI; Commonwealth XI, 3, 6, 398, 1, 107, 79.6, 3, 1, 0, 3, 9, 0
GE Tribe, North; Victoria; The Rest; Australia; Players; Duke of Norfolk's XI; CG Howard's XI; LEG Ames' XI; Northamptonshire; AER Gilligan's XI; TN Pearce's XI; Commonwealth XI, 8, 15, 389, 3, 92, 32.41, 0, 3, 0, 0, 0, 0
G Cox, HDG Leveson-Gower's XI; Royal Air Force; Over 32; Sussex; South; LC Stevens' XI, 2, 4, 387, 0, 232, 96.75, 1, 2, 0, 0, 0, 0
EF Towell, Northamptonshire, 18, 27, 385, 5, 66, 17.5, 0, 1, 4, 0, 0, 0
N Oldfield, Northamptonshire; Sir J Cahn's XI; Commonwealth XI; North; Lancashire; England, 6, 11, 373, 0, 94, 33.9, 0, 4, 0, 0, 0, 0
PJ Watts, Marylebone Cricket Club; Northamptonshire, 11, 17, 366, 0, 88, 21.52, 0, 3, 2, 0, 0, 0
V Broderick, The Rest; North; Under 30; Marylebone Cricket Club; Northamptonshire; Sir PF Warner's XI, 9, 16, 336, 1, 115, 22.4, 1, 1, 1, 0, 0, 0
L Livingston, Commonwealth XI; Northamptonshire; North; Marylebone Cricket Club; New South Wales; CG Howard's XI, 7, 11, 321, 0, 77, 29.18, 0, 1, 1, 0, 0, 0
Mushtaq Mohammad, Marylebone Cricket Club; Karachi Blues; Karachi C; Karachi Whites; Karachi A; Karachi; President's XI; Peshawar; Pakistan International Airlines; BCCP XI; International Cavaliers; Pakistan Eaglets; Fazal Mahmood's XI; International XI; Pakistan Under-25s; Pakistan International Airlines A; DH Robins' XI; Rest of the World XI; Pakistan Banks; DB Close's XI; ZA Bhutto's XI; Pakistan; AER Gilligan's XI; TN Pearce's XI; Commonwealth XI; Pakistanis; The Rest; Northamptonshire, 6, 10, 318, 2, 110, 39.75, 1, 0, 0, 0, 0, 0
AE Thomas, Northamptonshire; Wales; Players, 21, 31, 314, 7, 39, 13.08, 0, 0, 7, 0, 0, 0
JA Cutmore, Essex, 3, 6, 302, 0, 101, 50.33, 1, 2, 0, 0, 0, 0
RL Wright, Northamptonshire, 8, 16, 300, 1, 112, 20, 1, 1, 0, 0, 17, 0
KC James, Wellington; Northamptonshire; New Zealanders; New Zealand Services; New Zealand; Sir L Parkinson's XI, 8, 16, 293, 0, 81, 18.31, 0, 1, 3, 0, 0, 0
DM Young, Worcestershire; AER Gilligan's XI; Commonwealth XI; Marylebone Cricket Club; England XI; Gloucestershire, 2, 4, 287, 1, 121, 95.66, 2, 0, 0, 0, 0, 0
AH Dyson, Glamorgan; Sir J Cahn's XI, 4, 8, 274, 1, 75*, 39.14, 0, 3, 1, 0, 0, 0
AW Snowden, Northamptonshire, 11, 20, 262, 1, 51, 13.78, 0, 1, 4, 0, 0, 0
SE Leary, Combined Services; Kent; Marylebone Cricket Club, 2, 4, 253, 0, 158, 63.25, 1, 1, 0, 0, 0, 0
AJ Watkins, England XI; The Rest; England; Marylebone Cricket Club; Players; South; Under 30; Glamorgan; Commonwealth XI, 3, 5, 253, 1, 146, 63.25, 1, 1, 0, 0, 24, 0
DS Steele, DH Robins' XI; Leicestershire; Northamptonshire; TN Pearce's XI; Derbyshire; England; Marylebone Cricket Club, 7, 11, 251, 2, 90*, 27.88, 0, 1, 1, 0, 0, 0
RC Wilson, Marylebone Cricket Club; Kent; AER Gilligan's XI, 2, 4, 250, 1, 159*, 83.33, 1, 1, 1, 0, 0, 0
AP Arnold, Canterbury; Commonwealth XI; Northamptonshire, 6, 11, 246, 0, 75, 22.36, 0, 3, 1, 0, 0, 0
FS Lee, Middlesex; Somerset; Marylebone Cricket Club, 4, 7, 238, 1, 115, 39.66, 1, 1, 0, 0, 6, 0
RJ Partridge, Northamptonshire; Royal Air Force; M Leyland's XI; North, 15, 27, 238, 7, 57, 11.9, 0, 2, 5, 0, 0, 0
A Lightfoot, Players; TN Pearce's XI; AER Gilligan's XI; Combined Services; Northamptonshire, 6, 10, 233, 3, 49, 33.28, 0, 0, 0, 0, 0, 0
CCR Dacre, Gloucestershire; Auckland; Players; South; North Island; New Zealand; Lord Tennyson's XI; New Zealanders; New Zealand Minor Associations, 2, 3, 228, 0, 165, 76, 1, 0, 0, 0, 0, 0
FI Walden, Northamptonshire, 10, 18, 227, 1, 43, 13.35, 0, 0, 2, 0, 0, 0
D Davies, Wales; Glamorgan; Players, 6, 12, 223, 2, 50, 22.3, 0, 1, 1, 0, 0, 0
WC Brown, Northamptonshire, 12, 20, 220, 3, 41*, 12.94, 0, 0, 2, 0, 0, 0
BS Crump, AER Gilligan's XI; Northamptonshire; Marylebone Cricket Club; Players, 11, 17, 219, 4, 64*, 16.84, 0, 1, 6, 0, 0, 0
