Name, Team, Opponents, Ground, Date, Score, Balls, Fours, Sixes, Minutes
G Cox, Sussex, Northamptonshire, Town Ground  Kettering, 1 July 1939, 232, 0, 0, 0, 0
KS Duleepsinhji, Sussex, Northamptonshire, Town Ground  Kettering, 21 July 1928, 198, 0, 0, 0, 0
CCR Dacre, Gloucestershire, Northamptonshire, Town Ground  Kettering, 4 July 1931, 165, 0, 0, 0, 0
CN Woolley, Northamptonshire, Warwickshire, Town Ground  Kettering, 6 June 1925, 164, 0, 22, 0, 250
VWC Jupp, Northamptonshire, Somerset, Town Ground  Kettering, 2 July 1932, 163, 0, 0, 0, 0
CP Davis, Northamptonshire, Glamorgan, Town Ground  Kettering, 5 July 1947, 163, 0, 19, 2, 0
RC Wilson, Kent, Northamptonshire, Town Ground  Kettering, 31 July 1963, 159*, 0, 0, 0, 0
SE Leary, Kent, Northamptonshire, Town Ground  Kettering, 31 July 1963, 158, 0, 0, 0, 0
AE Dipper, Gloucestershire, Northamptonshire, Town Ground  Kettering, 29 June 1929, 153, 0, 0, 0, 0
JT Bell, Glamorgan, Northamptonshire, Town Ground  Kettering, 17 July 1926, 152, 0, 0, 0, 0
MW Tate, Sussex, Northamptonshire, Town Ground  Kettering, 6 July 1927, 146, 0, 0, 0, 0
AJ Watkins, Glamorgan, Northamptonshire, Town Ground  Kettering, 5 July 1947, 146, 0, 24, 0, 0
JB Bolus, Nottinghamshire, Northamptonshire, Town Ground  Kettering, 3 June 1967, 146, 0, 0, 0, 0
HD Burrough, Somerset, Northamptonshire, Town Ground  Kettering, 2 July 1932, 135, 0, 0, 0, 0
AH Bakewell, Northamptonshire, Gloucestershire, Town Ground  Kettering, 4 July 1931, 134, 0, 0, 0, 0
HFT Buse, Somerset, Northamptonshire, Town Ground  Kettering, 2 July 1938, 132, 0, 13, 0, 180
AH Bakewell, Northamptonshire, Essex, Town Ground  Kettering, 1 July 1933, 123, 0, 0, 0, 0
AH Bakewell, Northamptonshire, Glamorgan, Town Ground  Kettering, 25 May 1935, 121, 0, 0, 0, 0
JM Sims, Middlesex, Northamptonshire, Town Ground  Kettering, 3 July 1937, 121, 0, 0, 0, 0
DM Young, Gloucestershire, Northamptonshire, Town Ground  Kettering, 2 July 1955, 121, 0, 0, 0, 0
DM Young, Gloucestershire, Northamptonshire, Town Ground  Kettering, 2 July 1955, 117*, 0, 0, 0, 0
CN Woolley, Northamptonshire, Glamorgan, Town Ground  Kettering, 7 July 1923, 116*, 0, 13, 0, 210
LH Tennyson, Hampshire, Northamptonshire, Town Ground  Kettering, 16 July 1927, 116*, 0, 0, 0, 0
FAV Parker, Combined Services, Northamptonshire, Town Ground  Kettering, 29 June 1946, 116, 0, 13, 0, 0
FS Lee, Somerset, Northamptonshire, Town Ground  Kettering, 2 July 1938, 115, 0, 6, 0, 235
V Broderick, Northamptonshire, Worcestershire, Town Ground  Kettering, 28 June 1952, 115, 0, 0, 0, 0
BL Reynolds, Northamptonshire, Kent, Town Ground  Kettering, 31 July 1963, 115, 0, 0, 0, 0
JE Timms, Northamptonshire, Sussex, Town Ground  Kettering, 1 July 1939, 114*, 0, 0, 0, 0
JE Timms, Northamptonshire, Surrey, Town Ground  Kettering, 8 June 1929, 113, 0, 0, 0, 0
AH Bakewell, Northamptonshire, Glamorgan, Town Ground  Kettering, 6 June 1931, 113, 0, 0, 0, 0
H Sutcliffe, Yorkshire, Northamptonshire, Town Ground  Kettering, 14 June 1933, 113, 0, 1, 10, 120
D Brookes, Northamptonshire, Worcestershire, Town Ground  Kettering, 11 June 1938, 113, 0, 11, 0, 230
RL Wright, Northamptonshire, Warwickshire, Town Ground  Kettering, 6 June 1925, 112, 0, 17, 0, 155
