Name, Team, Matches, Innings, Balls, Maidens, Runs, Wickets, Avg, Fours, Sixes, FiveFor, TenFor, BBI, BBM
VWC Jupp, Sussex; Gentlemen; North; South; England XI; The Rest; England; Marylebone Cricket Club; Marylebone Cricket Club South African Touring Team; LG Robinson's XI; Northamptonshire; HDG Leveson-Gower's XI; Lord Hawke's XI; CI Thornton's XI, 27, 39, 4162, 143, 2131, 112, 19.02, 0, 0, 9, 1, 7/60, 10/148
EW Clark, Northamptonshire; LH Tennyson's XI; England; Marylebone Cricket Club; Players; The Rest; North, 24, 45, 4895, 178, 2143, 102, 21, 0, 0, 7, 2, 7/62, 11/111
AE Thomas, Northamptonshire; Wales; Players, 21, 35, 5074, 271, 1670, 81, 20.61, 0, 0, 5, 2, 6/32, 10/54
RJ Partridge, Northamptonshire; Royal Air Force; M Leyland's XI; North, 15, 22, 2744, 78, 1292, 56, 23.07, 0, 0, 4, 1, 9/66, 12/128
BS Crump, AER Gilligan's XI; Northamptonshire; Marylebone Cricket Club; Players, 11, 19, 2601, 140, 794, 47, 16.89, 0, 0, 2, 0, 5/48, 8/55
ADG Matthews, South; England; Northamptonshire; HDG Leveson-Gower's XI; Glamorgan; Royal Air Force, 20, 29, 3087, 141, 1125, 46, 24.45, 0, 0, 3, 1, 7/63, 10/98
GE Tribe, North; Victoria; The Rest; Australia; Players; Duke of Norfolk's XI; CG Howard's XI; LEG Ames' XI; Northamptonshire; AER Gilligan's XI; TN Pearce's XI; Commonwealth XI, 8, 14, 1287, 41, 617, 40, 15.42, 0, 0, 4, 0, 6/116, 8/104
EF Towell, Northamptonshire, 18, 27, 2120, 62, 1026, 31, 33.09, 0, 0, 0, 0, 3/27, 5/63
JE Buswell, Northamptonshire, 5, 8, 1006, 24, 573, 23, 24.91, 0, 0, 2, 0, 5/38, 6/92
RTD Perks, Combined Services; Over 32; Worcestershire; England; Marylebone Cricket Club; South; Over 30; Under 30; North; Players; The Rest, 4, 8, 849, 38, 336, 23, 14.6, 0, 0, 3, 0, 5/45, 8/64
V Broderick, The Rest; North; Under 30; Marylebone Cricket Club; Northamptonshire; Sir PF Warner's XI, 9, 12, 1531, 72, 644, 22, 29.27, 0, 0, 2, 0, 7/38, 9/99
RW Clarke, Northamptonshire; Under 32; South; North; Marylebone Cricket Club, 8, 13, 1458, 57, 668, 22, 30.36, 0, 0, 0, 0, 4/80, 5/90
FP Ryan, Hampshire; South; Glamorgan; Wales; HDG Leveson-Gower's XI, 4, 8, 858, 39, 326, 22, 14.81, 0, 0, 1, 0, 5/63, 8/97
JV Murdin, Players; Northamptonshire, 6, 11, 782, 27, 429, 21, 20.42, 0, 0, 2, 0, 5/32, 9/130
WE Bowes, England; Marylebone Cricket Club; Yorkshire; The Rest; Players; HDG Leveson-Gower's XI; Marylebone Cricket Club Australian Touring Team, 2, 4, 291, 26, 56, 20, 2.8, 0, 0, 2, 1, 8/17, 16/35
JC Clay, England; Gentlemen of England; Marylebone Cricket Club; Gentlemen; HDG Leveson-Gower's XI; Glamorgan; Wales, 4, 8, 734, 29, 293, 20, 14.65, 0, 0, 1, 0, 7/15, 8/43
GG Macaulay, Marylebone Cricket Club Australian Touring Team; Marylebone Cricket Club South African Touring Team; CI Thornton's XI; Yorkshire; The Rest; Players; Marylebone Cricket Club; England, 2, 4, 442, 30, 93, 20, 4.65, 0, 0, 2, 1, 7/9, 11/34
