Name, Team, Matches, Innings, Ground, Country, Dismissals, Caught, Stumped, Caught by Keeper, Caught by Fielder, Best Dismissals, Best Caught Fielder, Best Caught Keeper, Best Stumpings
BW Bellamy, Northamptonshire, 0, 45, , , 59, 50, 9, 50, 0, 5, 0, 4, 1
KV Andrew, North; Players; Marylebone Cricket Club; England; England XI; Combined Services; AER Gilligan's XI; Northamptonshire; TN Pearce's XI; Commonwealth XI, 0, 21, , , 28, 27, 1, 27, 0, 3, 0, 3, 0
AH Bakewell, Northamptonshire; HDG Leveson-Gower's XI; North; The Rest; Players; Marylebone Cricket Club; England, 0, 34, , , 27, 27, 0, 0, 27, 3, 3, 0, 0
KC James, Wellington; Northamptonshire; New Zealanders; New Zealand Services; New Zealand; Sir L Parkinson's XI, 0, 15, , , 25, 19, 6, 19, 0, 3, 0, 3, 0
WL Cornford, Players; Sussex; The Rest; England; Marylebone Cricket Club, 0, 9, , , 14, 11, 3, 11, 0, 3, 0, 1, 2
K Fiddling, Northamptonshire; Yorkshire, 0, 8, , , 12, 12, 0, 12, 0, 4, 0, 4, 0
VWC Jupp, Sussex; Gentlemen; North; South; England XI; The Rest; England; Marylebone Cricket Club; Marylebone Cricket Club South African Touring Team; LG Robinson's XI; Northamptonshire; HDG Leveson-Gower's XI; Lord Hawke's XI; CI Thornton's XI, 0, 47, , , 12, 12, 0, 0, 12, 2, 2, 0, 0
JE Timms, Northamptonshire; North; The Rest, 0, 64, , , 12, 12, 0, 0, 12, 4, 4, 0, 0
LA Johnson, Marylebone Cricket Club; Northamptonshire, 0, 9, , , 11, 9, 2, 9, 0, 4, 0, 3, 1
PJ Watts, Marylebone Cricket Club; Northamptonshire, 0, 19, , , 11, 11, 0, 0, 11, 3, 3, 0, 0
