Name, Team, Opponents, Ground, Date, Score, Balls, Fours, Sixes, Minutes
JG Langridge, Sussex, Northamptonshire, Town Ground  Peterborough, 26 May 1934, 232*, 0, 0, 0, 0
DW Barrick, Northamptonshire, Somerset, Town Ground  Peterborough, 5 July 1952, 196*, 0, 32, 0, 245
V Broderick, Northamptonshire, Scotland, Town Ground  Peterborough, 10 June 1953, 190, 0, 29, 1, 276
N Oldfield, Northamptonshire, Scotland, Town Ground  Peterborough, 10 June 1953, 149*, 0, 17, 1, 276
RM Prideaux, Northamptonshire, Somerset, Town Ground  Peterborough, 12 May 1962, 140, 0, 0, 0, 0
A Wharton, Lancashire, Northamptonshire, Town Ground  Peterborough, 21 May 1949, 137*, 0, 19, 4, 0
A Mitchell, Yorkshire, Northamptonshire, Town Ground  Peterborough, 13 July 1938, 133, 0, 17, 2, 210
WR Hammond, Gloucestershire, Northamptonshire, Town Ground  Peterborough, 9 June 1928, 131, 0, 0, 0, 0
VWC Jupp, Northamptonshire, Sussex, Town Ground  Peterborough, 1 June 1929, 125, 0, 0, 0, 0
GE Tyldesley, Lancashire, Northamptonshire, Town Ground  Peterborough, 7 July 1934, 122, 0, 0, 0, 0
BS Crump, Northamptonshire, Gloucestershire, Town Ground  Peterborough, 17 May 1961, 120, 0, 0, 0, 0
RW Hooker, Middlesex, Northamptonshire, Town Ground  Peterborough, 22 June 1963, 119*, 0, 0, 0, 0
W Walker, Nottinghamshire, Northamptonshire, Town Ground  Peterborough, 10 July 1935, 114*, 0, 0, 0, 0
AG Liddell, Northamptonshire, Worcestershire, Town Ground  Peterborough, 15 July 1933, 113, 0, 0, 0, 0
AH Bakewell, Northamptonshire, New Zealanders, Town Ground  Peterborough, 20 June 1931, 109, 0, 0, 0, 0
RA White, Middlesex, Northamptonshire, Town Ground  Peterborough, 22 June 1963, 108*, 0, 0, 0, 0
B Roe, Somerset, Northamptonshire, Town Ground  Peterborough, 12 May 1962, 108, 0, 0, 0, 0
Mushtaq Mohammad, Pakistan Eaglets, Northamptonshire, Town Ground  Peterborough, 26 June 1963, 108, 0, 0, 0, 0
RES Wyatt, Warwickshire, Northamptonshire, Town Ground  Peterborough, 10 June 1936, 107, 0, 0, 0, 0
AJW Croom, Warwickshire, Northamptonshire, Town Ground  Peterborough, 18 July 1931, 105, 0, 0, 0, 0
H Sutcliffe, Yorkshire, Northamptonshire, Town Ground  Peterborough, 13 July 1938, 104, 0, 13, 0, 150
AE Dipper, Gloucestershire, Northamptonshire, Town Ground  Peterborough, 9 June 1928, 102, 0, 0, 0, 0
J Langridge, Sussex, Northamptonshire, Town Ground  Peterborough, 1 June 1929, 101*, 0, 0, 0, 0
AFA Lilley, Warwickshire, Northamptonshire, Town Ground  Peterborough, 7 June 1906, 101, 0, 0, 0, 0
W Place, Lancashire, Northamptonshire, Town Ground  Peterborough, 21 May 1949, 101, 0, 0, 0, 0
DCS Compton, Middlesex, Northamptonshire, Town Ground  Peterborough, 2 May 1953, 100, 0, 0, 0, 0
