Name, Team, Opponents, Date, Ground, Innings, Balls, Maidens, Runs, Wickets, Balls Per Over
RW Clarke, Northamptonshire, Hampshire, 5 May 1951, Town Ground  Peterborough, 1, 155, 12, 26, 8, 6
RK Tyldesley, Lancashire, Northamptonshire, 6 July 1929, Town Ground  Peterborough, 2, 117, 10, 34, 8, 6
JS Manning, Northamptonshire, Gloucestershire, 11 July 1959, Town Ground  Peterborough, 1, 170, 17, 43, 8, 6
GAE Paine, Warwickshire, Northamptonshire, 18 July 1931, Town Ground  Peterborough, 2, 114, 8, 44, 8, 6
AF Wensley, Sussex, Northamptonshire, 1 June 1929, Town Ground  Peterborough, 2, 252, 10, 118, 8, 6
NI Thomson, Sussex, Northamptonshire, 20 July 1957, Town Ground  Peterborough, 1, 114, 13, 12, 7, 6
GE Tribe, Northamptonshire, Scotland, 10 June 1953, Town Ground  Peterborough, 1, 79, 3, 23, 7, 6
V Broderick, Northamptonshire, Nottinghamshire, 22 May 1948, Town Ground  Peterborough, 2, 108, 9, 29, 7, 6
W Voce, Nottinghamshire, Northamptonshire, 10 July 1935, Town Ground  Peterborough, 1, 105, 5, 34, 7, 6
TWJ Goddard, Gloucestershire, Northamptonshire, 12 June 1946, Town Ground  Peterborough, 1, 78, 0, 38, 7, 6
EA McDonald, Lancashire, Northamptonshire, 6 July 1929, Town Ground  Peterborough, 1, 189, 14, 40, 7, 6
MW Tate, Sussex, Northamptonshire, 26 May 1934, Town Ground  Peterborough, 2, 181, 13, 42, 7, 6
JC Clay, Glamorgan, Northamptonshire, 22 May 1937, Town Ground  Peterborough, 2, 93, 3, 43, 7, 6
J Langridge, Sussex, Northamptonshire, 24 June 1933, Town Ground  Peterborough, 2, 150, 9, 44, 7, 6
KC Preston, Essex, Northamptonshire, 7 July 1956, Town Ground  Peterborough, 1, 144, 2, 55, 7, 6
WE Merritt, Northamptonshire, Gloucestershire, 12 June 1946, Town Ground  Peterborough, 1, 123, 2, 63, 7, 6
MHJ Allen, Northamptonshire, Sussex, 20 July 1957, Town Ground  Peterborough, 1, 125, 3, 82, 7, 6
WG Quaife, Warwickshire, Northamptonshire, 7 June 1906, Town Ground  Peterborough, 1, 154, 4, 84, 7, 6
AP Freeman, Kent, Northamptonshire, 21 May 1930, Town Ground  Peterborough, 2, 258, 10, 92, 7, 6
AS Kennedy, Hampshire, Northamptonshire, 28 May 1932, Town Ground  Peterborough, 2, 108, 8, 17, 6, 6
VWC Jupp, Northamptonshire, Hampshire, 28 May 1932, Town Ground  Peterborough, 2, 69, 5, 21, 6, 6
TWJ Goddard, Gloucestershire, Northamptonshire, 12 June 1946, Town Ground  Peterborough, 2, 96, 6, 23, 6, 6
JB Statham, Lancashire, Northamptonshire, 17 June 1964, Town Ground  Peterborough, 1, 96, 3, 27, 6, 6
EW Clark, Northamptonshire, Essex, 19 June 1937, Town Ground  Peterborough, 2, 106, 6, 29, 6, 6
V Broderick, Northamptonshire, Nottinghamshire, 22 May 1948, Town Ground  Peterborough, 1, 160, 10, 31, 6, 6
FM Sibbles, Lancashire, Northamptonshire, 7 July 1934, Town Ground  Peterborough, 2, 120, 6, 47, 6, 6
RW Clarke, Northamptonshire, Somerset, 5 July 1952, Town Ground  Peterborough, 1, 114, 1, 47, 6, 6
JC Laker, Surrey, Northamptonshire, 25 June 1947, Town Ground  Peterborough, 1, 142, 6, 55, 6, 6
VWC Jupp, Northamptonshire, Hampshire, 28 May 1932, Town Ground  Peterborough, 1, 130, 9, 58, 6, 6
S Santall, Warwickshire, Northamptonshire, 12 August 1907, Town Ground  Peterborough, 2, 180, 8, 60, 6, 6
EW Clark, Northamptonshire, Kent, 21 May 1930, Town Ground  Peterborough, 1, 140, 5, 64, 6, 6
FH Tyson, Northamptonshire, Warwickshire, 28 May 1958, Town Ground  Peterborough, 1, 160, 6, 67, 6, 6
AF Wensley, Sussex, Northamptonshire, 24 June 1933, Town Ground  Peterborough, 1, 126, 5, 68, 6, 6
A Jepson, Nottinghamshire, Northamptonshire, 22 May 1948, Town Ground  Peterborough, 1, 190, 4, 69, 6, 6
FR Brown, Northamptonshire, Middlesex, 2 May 1953, Town Ground  Peterborough, 2, 227, 15, 71, 6, 6
CWL Parker, Gloucestershire, Northamptonshire, 9 June 1928, Town Ground  Peterborough, 1, 192, 9, 76, 6, 6
AF Wensley, Sussex, Northamptonshire, 1 June 1929, Town Ground  Peterborough, 1, 216, 10, 93, 6, 6
