Name, Team, Matches, Innings, Runs, NotOuts, Highest Score, Average, Hundreds, Fifties, Ducks, Sixes, Fours, Balls
D Brookes, The Rest; England XI; South; North; Players; Marylebone Cricket Club; England; Northamptonshire; HDG Leveson-Gower's XI; Royal Air Force; Under 33, 16, 30, 954, 2, 112*, 34.07, 2, 6, 1, 0, 11, 0
L Livingston, Commonwealth XI; Northamptonshire; North; Marylebone Cricket Club; New South Wales; CG Howard's XI, 7, 12, 470, 0, 104, 39.16, 1, 3, 1, 2, 13, 0
DW Barrick, Northamptonshire; AER Gilligan's XI; Commonwealth XI; Duke of Norfolk's XI; LEG Ames' XI; England XI; The Rest; Players; Marylebone Cricket Club, 12, 20, 425, 2, 121*, 23.61, 1, 1, 3, 0, 0, 0
GE Tribe, North; Victoria; The Rest; Australia; Players; Duke of Norfolk's XI; CG Howard's XI; LEG Ames' XI; Northamptonshire; AER Gilligan's XI; TN Pearce's XI; Commonwealth XI, 8, 15, 383, 2, 105*, 29.46, 1, 1, 1, 0, 0, 0
BL Reynolds, Players; AER Gilligan's XI; Northamptonshire, 8, 14, 328, 0, 52, 23.42, 0, 1, 2, 0, 0, 0
A Lightfoot, Players; TN Pearce's XI; AER Gilligan's XI; Combined Services; Northamptonshire, 7, 13, 310, 3, 66*, 31, 0, 2, 0, 0, 0, 0
AP Arnold, Canterbury; Commonwealth XI; Northamptonshire, 6, 12, 287, 0, 56, 23.91, 0, 2, 1, 0, 0, 0
JE Timms, Northamptonshire; North; The Rest, 8, 14, 249, 0, 78, 17.78, 0, 1, 2, 0, 0, 0
N Oldfield, Northamptonshire; Sir J Cahn's XI; Commonwealth XI; North; Lancashire; England, 5, 9, 214, 0, 79, 23.77, 0, 1, 2, 0, 0, 0
MEJC Norman, England XI; Marylebone Cricket Club; Leicestershire; Northamptonshire; AER Gilligan's XI, 4, 7, 209, 0, 54, 29.85, 0, 1, 0, 0, 0, 0
