Name, Team, Opponents, Ground, Date, Score, Balls, Fours, Sixes, Minutes
NW Hill, Nottinghamshire, Northamptonshire, Town Ground  Rushden, 8 July 1961, 141, 0, 0, 0, 0
RE Marshall, Hampshire, Northamptonshire, Town Ground  Rushden, 8 August 1956, 133, 0, 0, 0, 0
KJ Grieves, Lancashire, Northamptonshire, Town Ground  Rushden, 18 May 1963, 127, 0, 0, 0, 0
PJ Watts, Northamptonshire, Nottinghamshire, Town Ground  Rushden, 8 July 1961, 125*, 0, 0, 0, 0
DW Barrick, Northamptonshire, Kent, Town Ground  Rushden, 25 June 1960, 121*, 0, 0, 0, 0
J O'Connor, Essex, Northamptonshire, Town Ground  Rushden, 23 July 1938, 115*, 0, 13, 0, 285
D Brookes, Northamptonshire, Gloucestershire, Town Ground  Rushden, 21 July 1951, 112*, 0, 11, 0, 0
RP Nelson, Northamptonshire, Essex, Town Ground  Rushden, 23 July 1938, 110, 0, 11, 2, 135
D Brookes, Northamptonshire, Hampshire, Town Ground  Rushden, 8 August 1956, 108, 0, 0, 0, 0
GE Tribe, Northamptonshire, Lancashire, Town Ground  Rushden, 13 May 1959, 105*, 0, 0, 0, 0
L Livingston, Northamptonshire, Somerset, Town Ground  Rushden, 21 June 1950, 104, 0, 13, 2, 180
DTL Bailey, Gloucestershire, Northamptonshire, Town Ground  Rushden, 21 July 1951, 101, 0, 15, 0, 0
