Name, Team, Matches, Innings, Ground, Country, Dismissals, Caught, Stumped, Caught by Keeper, Caught by Fielder, Best Dismissals, Best Caught Fielder, Best Caught Keeper, Best Stumpings
D Brookes, The Rest; England XI; South; North; Players; Marylebone Cricket Club; England; Northamptonshire; HDG Leveson-Gower's XI; Royal Air Force; Under 33, 0, 31, , , 10, 10, 0, 0, 10, 2, 2, 0, 0
KV Andrew, North; Players; Marylebone Cricket Club; England; England XI; Combined Services; AER Gilligan's XI; Northamptonshire; TN Pearce's XI; Commonwealth XI, 0, 13, , , 9, 6, 3, 6, 0, 2, 0, 2, 0
FR Brown, North; Surrey; South; The Rest; Gentlemen; England; Gentlemen of England; Marylebone Cricket Club; Cambridge University; HDG Leveson-Gower's XI; Northamptonshire; Marylebone Cricket Club Australian Touring Team; Free Foresters; TN Pearce's XI, 0, 8, , , 8, 8, 0, 0, 8, 3, 3, 0, 0
RW Clarke, Northamptonshire; Under 32; South; North; Marylebone Cricket Club, 0, 13, , , 8, 8, 0, 0, 8, 3, 3, 0, 0
AE Wilson, Over 33; South; West; Middlesex; Gloucestershire, 0, 4, , , 8, 6, 2, 6, 0, 4, 0, 4, 0
DW Barrick, Northamptonshire; AER Gilligan's XI; Commonwealth XI; Duke of Norfolk's XI; LEG Ames' XI; England XI; The Rest; Players; Marylebone Cricket Club, 0, 24, , , 7, 7, 0, 0, 7, 2, 2, 0, 0
K Fiddling, Northamptonshire; Yorkshire, 0, 9, , , 7, 2, 5, 2, 0, 4, 0, 1, 3
KC James, Wellington; Northamptonshire; New Zealanders; New Zealand Services; New Zealand; Sir L Parkinson's XI, 0, 7, , , 7, 5, 2, 5, 0, 3, 0, 3, 0
MHJ Allen, TN Pearce's XI; Northamptonshire; Derbyshire; Players; Marylebone Cricket Club; North, 0, 11, , , 6, 6, 0, 0, 6, 2, 2, 0, 0
W Barron, Sir PF Warner's XI; Northamptonshire; Lancashire, 0, 5, , , 6, 6, 0, 5, 1, 3, 0, 3, 0
L Livingston, Commonwealth XI; Northamptonshire; North; Marylebone Cricket Club; New South Wales; CG Howard's XI, 0, 14, , , 6, 4, 2, 1, 3, 2, 0, 1, 1
BL Reynolds, Players; AER Gilligan's XI; Northamptonshire, 0, 15, , , 6, 3, 3, 1, 2, 4, 0, 1, 3
DJ Halfyard, Kent; Marylebone Cricket Club; South; Nottinghamshire, 0, 4, , , 5, 5, 0, 0, 5, 2, 2, 0, 0
RO Jenkins, Worcestershire; Under 32; England XI; England; Marylebone Cricket Club; Players; South; West; Over 30; The Rest, 0, 4, , , 5, 5, 0, 0, 5, 3, 3, 0, 0
A Lightfoot, Players; TN Pearce's XI; AER Gilligan's XI; Combined Services; Northamptonshire, 0, 13, , , 5, 5, 0, 0, 5, 1, 1, 0, 0
NT McCorkell, Over 32; Lord Tennyson's XI; Hampshire; Players, 0, 2, , , 5, 4, 1, 4, 0, 3, 0, 2, 1
HW Stephenson, Under 32; Commonwealth XI; Marylebone Cricket Club; South; The Rest; Somerset; International XI, 0, 3, , , 5, 3, 2, 3, 0, 2, 0, 2, 0
GE Tribe, North; Victoria; The Rest; Australia; Players; Duke of Norfolk's XI; CG Howard's XI; LEG Ames' XI; Northamptonshire; AER Gilligan's XI; TN Pearce's XI; Commonwealth XI, 0, 16, , , 5, 5, 0, 0, 5, 1, 1, 0, 0
AP Arnold, Canterbury; Commonwealth XI; Northamptonshire, 0, 12, , , 4, 4, 0, 0, 4, 2, 2, 0, 0
BW Bellamy, Northamptonshire, 0, 2, , , 4, 2, 2, 2, 0, 3, 0, 1, 2
GHG Doggart, EW Swanton's XI; Under 32; Free Foresters; Marylebone Cricket Club; Gentlemen; England; The Rest; England XI; Sussex; Cambridge University; Under 30; South, 0, 2, , , 4, 4, 0, 0, 4, 4, 4, 0, 0
AE Nutter, Royal Air Force; Minor Counties; Northamptonshire; North; West; Lancashire; England XI; Marylebone Cricket Club, 0, 7, , , 4, 4, 0, 0, 4, 2, 2, 0, 0
DG Ufton, Kent; Marylebone Cricket Club, 0, 2, , , 4, 4, 0, 4, 0, 4, 0, 4, 0
AJ Watkins, England XI; The Rest; England; Marylebone Cricket Club; Players; South; Under 30; Glamorgan; Commonwealth XI, 0, 2, , , 4, 4, 0, 0, 4, 3, 3, 0, 0
DA Allen, Combined Services; TN Pearce's XI; Commonwealth XI; Marylebone Cricket Club Australian Touring Team; Players; Marylebone Cricket Club; The Rest; England; England XI; Gloucestershire, 0, 2, , , 3, 3, 0, 0, 3, 3, 3, 0, 0
J Arnold, Hampshire; Players; England, 0, 2, , , 3, 3, 0, 0, 3, 2, 2, 0, 0
G Clayton, Combined Services; Lancashire; Marylebone Cricket Club; Somerset, 0, 2, , , 3, 3, 0, 3, 0, 3, 0, 3, 0
LH Compton, Marylebone Cricket Club; South; Middlesex, 0, 2, , , 3, 3, 0, 3, 0, 2, 0, 2, 0
E Davis, Northamptonshire, 0, 6, , , 3, 3, 0, 0, 3, 1, 1, 0, 0
AH Dyson, Glamorgan; Sir J Cahn's XI, 0, 2, , , 3, 3, 0, 0, 3, 2, 2, 0, 0
CS Elliott, Derbyshire, 0, 2, , , 3, 3, 0, 0, 3, 2, 2, 0, 0
HW Greenwood, Northamptonshire; Sussex, 0, 4, , , 3, 3, 0, 0, 3, 2, 2, 0, 0
R Howorth, Europeans; HDG Leveson-Gower's XI; Worcestershire; M Leyland's XI; South; West; England XI; The Rest; England; Marylebone Cricket Club; Players, 0, 4, , , 3, 3, 0, 0, 3, 2, 2, 0, 0
VWC Jupp, Sussex; Gentlemen; North; South; England XI; The Rest; England; Marylebone Cricket Club; Marylebone Cricket Club South African Touring Team; LG Robinson's XI; Northamptonshire; HDG Leveson-Gower's XI; Lord Hawke's XI; CI Thornton's XI, 0, 5, , , 3, 3, 0, 0, 3, 2, 2, 0, 0
SE Leary, Combined Services; Kent; Marylebone Cricket Club, 0, 4, , , 3, 3, 0, 0, 3, 1, 1, 0, 0
FE Marsh, Derbyshire, 0, 2, , , 3, 3, 0, 0, 3, 3, 3, 0, 0
FP O'Brien, Canterbury and Otago; New Zealand XI; Northamptonshire; South Island; Canterbury, 0, 4, , , 3, 3, 0, 0, 3, 1, 1, 0, 0
LF Outschoorn, Commonwealth XI; Worcestershire, 0, 2, , , 3, 3, 0, 0, 3, 2, 2, 0, 0
RJ Partridge, Northamptonshire; Royal Air Force; M Leyland's XI; North, 0, 11, , , 3, 3, 0, 0, 3, 1, 1, 0, 0
AE Pothecary, Hampshire, 0, 2, , , 3, 3, 0, 0, 3, 3, 3, 0, 0
JM Prodger, Kent, 0, 2, , , 3, 3, 0, 0, 3, 2, 2, 0, 0
A Wilson, Lancashire, 0, 2, , , 3, 2, 1, 2, 0, 2, 0, 1, 1
HF Bagnall, Cambridge University; Marylebone Cricket Club; Northamptonshire, 0, 2, , , 2, 2, 0, 0, 2, 2, 2, 0, 0
V Broderick, The Rest; North; Under 30; Marylebone Cricket Club; Northamptonshire; Sir PF Warner's XI, 0, 13, , , 2, 2, 0, 0, 2, 1, 1, 0, 0
AH Bull, Northamptonshire, 0, 2, , , 2, 2, 0, 0, 2, 2, 2, 0, 0
EW Clark, Northamptonshire; LH Tennyson's XI; England; Marylebone Cricket Club; Players; The Rest; North, 0, 7, , , 2, 2, 0, 0, 2, 1, 1, 0, 0
HG Davies, Marylebone Cricket Club; The Rest; Glamorgan, 0, 2, , , 2, 2, 0, 2, 0, 2, 0, 2, 0
CP Davis, Northamptonshire, 0, 7, , , 2, 2, 0, 0, 2, 2, 2, 0, 0
EDR Eagar, Gloucestershire; Hampshire; Over 30; South; Marylebone Cricket Club; Oxford University; Over 33; Duke of Norfolk's XI, 0, 2, , , 2, 2, 0, 0, 2, 1, 1, 0, 0
WJ Edrich, CG Howard's XI; Minor Counties; Royal Air Force; HDG Leveson-Gower's XI; TN Pearce's XI; Sir PF Warner's XI; Lord Tennyson's XI; Middlesex; Over 30; South; Under 30; England XI; The Rest; Players; Gentlemen; Gentlemen of England; England; Marylebone Cricket Club, 0, 2, , , 2, 2, 0, 0, 2, 2, 2, 0, 0
H Elliott, Derbyshire; England; Marylebone Cricket Club; Marylebone Cricket Club South African Touring Team, 0, 2, , , 2, 1, 1, 1, 0, 1, 0, 1, 0
TG Evans, Marylebone Cricket Club South African Touring Team; Commonwealth XI; TN Pearce's XI; India Prime Minister's XI; HDG Leveson-Gower's XI; International Cavaliers; England XI; The Rest; England; Marylebone Cricket Club; Players; Kent; South; Under 30, 0, 2, , , 2, 2, 0, 2, 0, 1, 0, 1, 0
EJ Gothard, Derbyshire, 0, 2, , , 2, 2, 0, 0, 2, 1, 1, 0, 0
KJ Grieves, Commonwealth XI; North; Lancashire; New South Wales, 0, 4, , , 2, 2, 0, 0, 2, 1, 1, 0, 0
LA Johnson, Marylebone Cricket Club; Northamptonshire, 0, 2, , , 2, 2, 0, 2, 0, 2, 0, 2, 0
GEE Lambert, Gloucestershire; Somerset; South; West, 0, 4, , , 2, 2, 0, 0, 2, 1, 1, 0, 0
BA Langford, Marylebone Cricket Club; Somerset; TN Pearce's XI, 0, 2, , , 2, 2, 0, 0, 2, 1, 1, 0, 0
CL McCool, AL Hassett's XI; Queensland; Commonwealth XI; Australians; Australian XI; Australia; Somerset; New South Wales; South; CG Howard's XI, 0, 2, , , 2, 2, 0, 0, 2, 1, 1, 0, 0
AJW McIntyre, England; Marylebone Cricket Club; Surrey; South; HDG Leveson-Gower's XI; East, 0, 2, , , 2, 1, 1, 1, 0, 2, 0, 1, 1
CA Milton, AER Gilligan's XI; Players; Marylebone Cricket Club; England; England XI; Gloucestershire; The Rest, 0, 4, , , 2, 2, 0, 0, 2, 2, 2, 0, 0
JH Minney, Cambridge University; Northamptonshire, 0, 1, , , 2, 2, 0, 0, 2, 2, 2, 0, 0
MEJC Norman, England XI; Marylebone Cricket Club; Leicestershire; Northamptonshire; AER Gilligan's XI, 0, 7, , , 2, 2, 0, 0, 2, 2, 2, 0, 0
N Oldfield, Northamptonshire; Sir J Cahn's XI; Commonwealth XI; North; Lancashire; England, 0, 9, , , 2, 2, 0, 0, 2, 1, 1, 0, 0
RTD Perks, Combined Services; Over 32; Worcestershire; England; Marylebone Cricket Club; South; Over 30; Under 30; North; Players; The Rest, 0, 4, , , 2, 2, 0, 0, 2, 2, 2, 0, 0
RM Prideaux, South; Marylebone Cricket Club; Kent; Gentlemen; Cambridge University; Sussex; England; Gentlemen of England; The Rest; England XI; DH Robins' XI; Young England; Orange Free State; Northamptonshire; TN Pearce's XI; Commonwealth XI, 0, 2, , , 2, 2, 0, 0, 2, 1, 1, 0, 0
AEG Rhodes, Derbyshire; England XI; North; Marylebone Cricket Club, 0, 2, , , 2, 2, 0, 0, 2, 2, 2, 0, 0
