Name, Team, Matches, Innings, Runs, NotOuts, Highest Score, Average, Hundreds, Fifties, Ducks, Sixes, Fours, Balls
L Livingston, Commonwealth XI; Northamptonshire; North; Marylebone Cricket Club; New South Wales; CG Howard's XI, 9, 15, 831, 4, 172*, 75.54, 2, 5, 0, 1, 18, 0
G Cook, Northamptonshire; TN Pearce's XI; Eastern Province; Marylebone Cricket Club; England; England XI, 16, 27, 714, 2, 91, 28.56, 0, 4, 1, 0, 0, 0
D Brookes, The Rest; England XI; South; North; Players; Marylebone Cricket Club; England; Northamptonshire; HDG Leveson-Gower's XI; Royal Air Force; Under 33, 15, 25, 702, 2, 104*, 30.52, 1, 3, 0, 0, 0, 0
W Larkins, Northamptonshire; TN Pearce's XI; Eastern Province; England XI; Marylebone Cricket Club; England; DH Robins' XI; Young England; South African Breweries English XI; Test and County Cricket Board XI; DB Close's XI; Cricket Association of Bengal Overseas XI; Durham; Scarborough Festival President's XI, 13, 21, 641, 0, 115, 30.52, 2, 2, 1, 0, 0, 0
Mushtaq Mohammad, Marylebone Cricket Club; Karachi Blues; Karachi C; Karachi Whites; Karachi A; Karachi; President's XI; Peshawar; Pakistan International Airlines; BCCP XI; International Cavaliers; Pakistan Eaglets; Fazal Mahmood's XI; International XI; Pakistan Under-25s; Pakistan International Airlines A; DH Robins' XI; Rest of the World XI; Pakistan Banks; DB Close's XI; ZA Bhutto's XI; Pakistan; AER Gilligan's XI; TN Pearce's XI; Commonwealth XI; Pakistanis; The Rest; Northamptonshire, 9, 16, 631, 2, 166*, 45.07, 2, 2, 3, 0, 0, 0
DS Steele, DH Robins' XI; Leicestershire; Northamptonshire; TN Pearce's XI; Derbyshire; England; Marylebone Cricket Club, 15, 26, 568, 4, 56, 25.81, 0, 3, 0, 0, 0, 0
BL Reynolds, Players; AER Gilligan's XI; Northamptonshire, 15, 29, 565, 6, 61, 24.56, 0, 2, 5, 0, 0, 0
AJ Lamb, Northamptonshire; Orange Free State; Western Province; England; Marylebone Cricket Club; England XI, 8, 13, 552, 4, 104*, 61.33, 1, 4, 0, 0, 5, 6
AP Arnold, Canterbury; Commonwealth XI; Northamptonshire, 7, 14, 448, 2, 117, 37.33, 1, 3, 2, 0, 0, 0
DW Barrick, Northamptonshire; AER Gilligan's XI; Commonwealth XI; Duke of Norfolk's XI; LEG Ames' XI; England XI; The Rest; Players; Marylebone Cricket Club, 12, 20, 429, 2, 72, 23.83, 0, 4, 1, 0, 0, 0
