Name, Team, Opponents, Ground, Date, Score, Balls, Fours, Sixes, Minutes
L Hutton, Yorkshire, Northamptonshire, Wellingborough School Ground  Wellingborough, 6 August 1949, 269*, 0, 32, 0, 385
L Livingston, Northamptonshire, Essex, Wellingborough School Ground  Wellingborough, 6 August 1955, 172*, 0, 0, 0, 0
Mushtaq Mohammad, Northamptonshire, Warwickshire, Wellingborough School Ground  Wellingborough, 7 August 1976, 166*, 0, 0, 0, 0
Mushtaq Mohammad, Northamptonshire, Nottinghamshire, Wellingborough School Ground  Wellingborough, 9 August 1969, 156*, 0, 0, 0, 0
TS Curtis, Worcestershire, Northamptonshire, Wellingborough School Ground  Wellingborough, 11 August 1984, 124, 0, 0, 0, 0
CWJ Athey, Yorkshire, Northamptonshire, Wellingborough School Ground  Wellingborough, 15 August 1981, 123*, 0, 0, 0, 0
RJ Boyd-Moss, Northamptonshire, Glamorgan, Wellingborough School Ground  Wellingborough, 17 August 1985, 121, 0, 0, 0, 0
JB Bolus, Nottinghamshire, Northamptonshire, Wellingborough School Ground  Wellingborough, 9 August 1969, 119, 0, 0, 0, 0
AP Arnold, Northamptonshire, Essex, Wellingborough School Ground  Wellingborough, 9 August 1958, 117, 0, 0, 0, 0
W Larkins, Northamptonshire, Leicestershire, Wellingborough School Ground  Wellingborough, 11 August 1979, 115, 0, 0, 0, 0
PJ Watts, Northamptonshire, Worcestershire, Wellingborough School Ground  Wellingborough, 8 August 1959, 113, 0, 0, 0, 0
F Jakeman, Northamptonshire, Lancashire, Wellingborough School Ground  Wellingborough, 12 August 1950, 111, 0, 18, 0, 295
GM Turner, Worcestershire, Northamptonshire, Wellingborough School Ground  Wellingborough, 8 August 1970, 110*, 0, 0, 0, 0
W Barron, Northamptonshire, Worcestershire, Wellingborough School Ground  Wellingborough, 9 August 1947, 106, 0, 16, 0, 0
L Livingston, Northamptonshire, Derbyshire, Wellingborough School Ground  Wellingborough, 9 August 1952, 106, 0, 18, 1, 206
B Taylor, Essex, Northamptonshire, Wellingborough School Ground  Wellingborough, 10 August 1957, 105, 0, 0, 0, 0
W Larkins, Northamptonshire, Hampshire, Wellingborough School Ground  Wellingborough, 16 August 1980, 105, 0, 0, 0, 0
D Brookes, Northamptonshire, Yorkshire, Wellingborough School Ground  Wellingborough, 6 August 1949, 104*, 0, 0, 0, 0
AJ Lamb, Northamptonshire, Glamorgan, Wellingborough School Ground  Wellingborough, 20 August 1988, 104*, 0, 0, 0, 0
R Smith, Essex, Northamptonshire, Wellingborough School Ground  Wellingborough, 6 August 1955, 101*, 0, 0, 0, 0
RC Wilson, Kent, Northamptonshire, Wellingborough School Ground  Wellingborough, 8 August 1964, 101*, 0, 0, 0, 0
